sentence,wikidata,label
"stefan askenase died in bonn on 18 october 1985, shortly after giving a concert in cologne",place of death Bonn,0
"he died in berlin on 25 september 1931, having been in a coma for a short time",place of death Berlin,0
"his death was registered at metz railway station.killing the ss the hunt for the worst war criminals in history bill o'reilly, martin dugard - 2018 - history",place of death Metz,0
thumb|tribute to jean moulin in the rail station of metz in which he is believed to have died,place of death Metz,0
he is believed to have died near metz on a train headed for germany death certificate for jean moulin in german from injuries that were reportedly sustained in a suicide attempt,place of death Metz,0
"for over a year, yuan was ill and died on february 11, 2003 in beijing",place of death Beijing,0
"he died in san antonio de caroni guayana, venezuela",place of death Venezuela,0
paul wild died of natural causes in canberra on 10 may 2008,place of death Canberra,0
"euler-chelpin died in stockholm on 6 november 1964, at the age of 91",place of death Stockholm,0
"zhao died in beijing on 16 january 2020, his 78th birthday",place of death Beijing,0
in 1967 she immigrated to taiwan and died in taipei at the age of 69,place of death Taipei,0
"the empress dowager died in friedrichshof on 5 august 1901, less than seven months after the death of her mother.clay 2008, p",place of death Schlosshotel Kronberg,0
"deeply embittered, he died on 1 july 1895 in sofia",place of death Sofia,0
his son nasir al-din became governor of yunnan in 1279 after sayyid ajall died,place of death Yunnan,0
"in the thirteenth century the influence of individual muslims was immense, especially that of the seyyid edjell shams ed-din omar, who served the mongol khans till his death in yunnan ad 1279",place of death Yunnan,0
"gullstrand died in stockholm in 1930, where he was interred at norra begravningsplatsen",place of death Stockholm,0
luo died of cardiopulmonary failure in taipei on 29 august 2015,place of death Taipei,0
"on september 25, 2012, williams died of bladder cancer at the age of 84 at his home in branson, missouri",place of death Branson,0
pope sergius ii ; died 27 january 847 was the bishop of rome and ruler of the papal states from january 844 to his death,place of death Rome,0
"at a preliminary meeting to designate a successor to gregory iv, who died in january 844, sergius was nominated by the aristocracy, while the people of rome declared for the deacon john",place of death Rome,0
"banks died of a heart attack at a chicago hospital on january 23, 2015, eight days before his 84th birthday",place of death Chicago,0
"after the defeat of napoleon and the restoration of the house of savoy's dominion over piedmont and savoy under the terms of the congress of vienna, maistre returned in 1817 to turin and served there as magistrate and minister of state until his death",place of death Turin,0
"sylvester died at 5 hertford street, london on 15 march 1897",place of death London,0
"in 1880, the royal society of london awarded sylvester the copley medal, its highest award for scientific achievement; in 1901, it instituted the sylvester medal in his memory, to encourage mathematical research after his death in oxford",place of death London,0
"a few news articles have considered tighar's theory, and generally consider it the most plausible of the ""earhart survived"" theories, although not proven and not accepted beyond crash-and-sink.the times september 12, 2016, page 3 – ""pioneer pilot may have died a castaway on pacific island""""the end of amelia earhart 2 several theories""",place of death Pacific Ocean,0
he died in london on 14 february 2016 from myelofibrosis,place of death London,0
"he died in cambridge in 2005, aged 85gro register of deaths sep 2005 d67c 21 cambridge – hermann bondi, dob = 1 nov 1919, aged 85 and his ashes were scattered at anglesey abbey near cambridge",place of death Cambridge,0
"on 6 october 1976, shortly after the death of mao, hua removed the gang of four from political power by arranging for their arrests in beijing",place of death Beijing,0
"mao died on 9 september 1976 and hua, as both the number two man of the cpc and premier, led the national commemorations in beijing in his honor in the days that followed",place of death Beijing,0
he died in beijing on 20 august 2008.keith bradsher and william j,place of death Beijing,0
"a cause of death was not given, and as his death occurred during the festive beijing olympics, it was not given much attention on state media merely a 30-second broadcast on the national news program xinwen lianbo and a short paragraph on the corner of the front page of the people's daily",place of death Beijing,0
"to evaluate the legacy of eliade and joachim wach within the discipline of the history of religions, the university of chicago chose 2006 the intermediate year between the 50th anniversary of wach's death and the 100th anniversary of eliade's birth, to hold a two-day conference in order to reflect upon their academic contributions and their political lives in their social and historical contexts, as well as the relationship between their works and their lives",place of death Chicago,0
"the latter's portrayal, accomplished through statements made by the eponymous character, is polemical grielescu, who is identified as a disciple of nae ionescu, took part in the bucharest pogrom, and is in chicago as a refugee scholar, searching for the friendship of a jewish colleague as a means to rehabilitate himself.mircea iorgulescu, ""portretul artistului ca delincvent politic"" ""the portrait of the artist as a political offender"", part i , in 22, nr.637, may 2002; retrieved july 16, 2007 in 2005, the romanian literary critic and translator antoaneta ralian, who was an acquaintance of bellow's, argued that much of the negative portrayal was owed to a personal choice bellow made after having divorced from alexandra bagdasar, his romanian wife and eliade disciple.antoaneta ralian, interviewed on the occasion of saul bellow's death , bbc romania, april 7, 2005 hosted by hotnews.ro; retrieved july 16, 2007 she also mentioned that, during a 1979 interview, bellow had expressed admiration for eliade",place of death Chicago,0
he died of tuberculosis during his third journey to italy in selasca now a hamlet of verbania on lake maggiore where he was buried in the cemetery in biganzolo verbania,place of death Verbania,0
"smith died at his norwich home in surrey street on march 17, 1828, aged 68",place of death Norwich,0
"however, his condition worsened and he died on 24 december 1902 at a hospital in nearby chigasaki",place of death Chigasaki,0
oswald died at 1 07 p.m; dallas police chief jesse curry announced his death on a tv news broadcast,place of death Dallas,0
"dallas county medical examiner earl rose announced the results of the gross autopsy ""the two things that we could determine were, first, that he died from a hemorrhage from a gunshot wound, and that otherwise he was a physically healthy male."" rose's examination found that the bullet entered oswald's left side in the front part of the abdomen and caused damage to his spleen, stomach, aorta, vena cava, kidney, liver, diaphragm, and eleventh rib before coming to rest on his right side",place of death Dallas,0
"tyrer lived a quiet life in the united kingdom in retirement and never publicly talked about his early retirement.sinclair 2004 many years later, he died at his home in bedfordshire on 24 august 2004, aged 86, taking the secret of his departure in 1967 to his grave.""tyrer, edward"" 2004 kevin sinclair, a reporter of hong kong's south china morning post, attempted to search for documents in relation to tyrer's early retirement from hong kong's public records office and the records and historical department of the british foreign and commonwealth office in 2004",place of death Bedfordshire,0
"in 1964, eleven days before his 94th birthday, paul von lettow-vorbeck died in hamburg",place of death Hamburg,0
"backhouse died in the hospital st michel in peking in 1944 aged 70, unmarried, and was succeeded in the baronetcy by his nephew john edmund backhouse, son of roger backhouse",place of death Beijing,0
feshbach died of heart failure at youville hospital in cambridge,place of death Cambridge,0
rosanjin died in yokohama in 1959 of cirrhosis of the liver brought about by a liver fluke infection,place of death Yokohama,0
"fellini died in rome on 31 october 1993 at the age of 73 after a heart attack he suffered a few weeks earlier,federico fellini, film visionary, is dead at 73, nytimes.com; accessed 28 august 2017",place of death Rome,0
"he lived mostly in moscow and peredelkino and died on may 27, 1989 in moscow",place of death Moscow,0
"in 1917 he was nominated a regular professor there and in 1921 he returned to vienna with this title, where he stayed until his rather early death in 1934 at the age of 54, following cancer surgery",place of death Vienna,0
"published in 1948 by arthur rosenthal, fourteen years after his death in vienna in 1934",place of death Vienna,0
"he returned to edinburgh after the jacobite army marched south, but died soon after his return",place of death Edinburgh,0
greek cyrenaean king magas of cyrene died in 249 bc or 250 bc,place of death Cyrene,0
"wang died in beijing on 29 october 2018, at the age of 99",place of death Beijing,0
"o'neill died in room 401 of the sheraton hotel now boston university's kilachand hall on bay state road in boston, on november 27, 1953, at the age of 65",place of death Boston,0
"seamus heaney died in the blackrock clinic in dublin on 30 august 2013, aged 74, following a short illness.heaney, seamus death notice the irish times, 30 september 2013.higgins to lead mourners at funeral mass for poet sunday independent, 1 september 2013",place of death Dublin,0
"according to jain texts, mahavira's nirvana death occurred in the town of pawapuri in present-day bihar",place of death Pawapuri,0
"the second son, nur al-din shah, who was the full-brother of shihab al-din shah, died around 1884–5 in a riding accident at poona while still in his youth",place of death Pune,0
francesco loredan 9 february 1685 in venice – 19 may 1762 in venice was a venetian statesman of the loredan family; he served as the 116th doge of venice from 18 march 1752 until his death,place of death Venice,0
912–926 in spanish san pelayo mártir was a christian boy who died as a martyr in córdoba around 926,place of death Córdoba,0
"on 15 october 1984, liu was shot to death in the garage of his home in daly city, california shortly after 9 a.m",place of death Daly City,0
"after the war, brinton practiced medicine in west chester, pennsylvania for several years; was the editor of a weekly periodical, the medical and surgical reporter, in philadelphia from 1874 to 1887; became professor of ethnology and archaeology in the academy of natural sciences in philadelphia in 1884; and was professor of american linguistics and archaeology in the university of pennsylvania from 1886 until his death",place of death Philadelphia,0
he died in india of cholera while on a visit to ghazipur,place of death Ghazipur,0
"king's quebec lieutenant, ernest lapointe, had died in november 1941",place of death Quebec City,0
"louis stephen st-laurent died from heart failure on 25 july 1973, in quebec city, quebec, aged 91 and was buried at saint thomas d'aquin cemetery in his hometown of compton, quebec",place of death Quebec City,0
"wakayama died of acute heart failure on april 2, 1992, in a hospital in kyoto",place of death Kyoto,0
"he zehui died in beijing in 2011, at the age of 97",place of death Beijing,0
"she died in rangoon on 28 december 1988, at the age of 76, after suffering a severe stroke",place of death Yangon,0
émile verhaeren died on 27 november 1916 at rouen station he fell under a moving train while trying to board it,place of death Rouen,0
"he died in bologna at 73 years of age.material in the ""biography"" section has been compiled from dinis 2003; dinis 2002; catholic encyclopedia giovanni battista riccioli",place of death Bologna,0
"on 25 march 2010, he died in beijing at the age of 91",place of death Beijing,0
"he developed osteomyelitis after breaking his foot snowboarding, and had it amputated after declining to take time off for treatment.frankie knuckles house pioneer dies aged 59 2 april 2014, bbc on march 31, 2014, he died in chicago at the age of 59 due to the complications from his diabetes",place of death Chicago,0
"he died at age 50 on 8 february 1709 in bologna ; , where his manuscripts are conserved in the san petronio archives",place of death Bologna,0
"she died of leukemia on 16 october 1988, aged 67, in cairo",place of death Cairo,0
kolingba died in paris on 7 february 2010.former central africa president dies party yahoo! news,place of death Paris,0
"his father, tsunenao 正岡常尚,official website of the shiki-an , shiki's tokyo residence, page in japanese was an alcoholic who died when shiki was five years of age",place of death Tokyo,0
"he returned to baghdad in 1965, and died there in december 1968",place of death Baghdad,0
"george's hospital, he died in london - 13 june 1861 - at the age of 34",place of death London,0
"hertz took a position of professor of physics and director of the physics institute in bonn on 3 april 1889, a position he held until his death",place of death Bonn,0
"he died at metten abbey in germany after being wounded by an allied bombing near regensburg, and was buried in oberstdorf",place of death Metten,0
stott died on 27 july 2011 at the college of st barnabas in lingfield at 3 15 pm local time,place of death Lingfield,0
pierson died in 1896 in the village almen and he is buried in zutphen,place of death Almen,0
pierson died in 1896 in the village almen and he is buried in zutphen,place of death Zutphen,0
"gim was made an official in jinju castle in 1591, and with the sudden death of the castle’s guardian yi gyeong, and the beginning of the imjin wars he came to be the commander of the fortress",place of death Jinju,0
"sacchi's death in rome is proven by his will, now at the state archives in rome",place of death Rome,0
sacchi later entered francesco albani's workshop and spent most of his time in rome where he eventually died,place of death Rome,0
"kropotkin died of pneumonia on 8 february 1921, in the city of dmitrov, and was buried at the novodevichy cemetery in moscow",place of death Moscow,0
he died in an essen hospital shortly before the end of world war ii as a result of stress experienced during the intense allied bombing of the city,place of death Essen,0
"he contracted typhoid fever or possibly malaria and returned to the arisugawa palace at maiko near kobe to recover, but he died there on january 15, 1895",place of death Kōbe,0
on 5 and 6 september 1995 claudio abbado and the berlin philharmonic marked the anniversary of borchard's death with performances of mahler's 6th symphony,place of death Berlin,0
he was sentenced to death and executed in taipei in 1950,place of death Taipei,0
he was sentenced to death and executed with other condemned co-defendants at nuremberg prison on the morning of 16 october 1946,place of death Nuremberg,0
hutten died in seclusion on the island of ufenau on lake zurich,place of death Ufenau,0
she died by poison in orthez less than a month later,place of death Orthez,0
"galo plaza died of a heart attack january 28, 1987 in a hospital in quito",place of death Quito,0
"feng was professor of physiology at the shanghai medical college current fudan university medical school, and the director 1950–1984 and later honorary director from 1984 till feng's death of the chinese academy of sciences institute of physiology also in shanghai",place of death Shanghai,0
"after the death of his elder brother yury, ivan inherited the principality of moscow",place of death Moscow,0
"barre died of a heart attack on january 26, 1995, in lagos",place of death Lagos,0
she died on 27 may 1707 at the age of almost sixty-seven while taking the waters at bourbon-l'archambault in order to try to heal an illness,place of death Bourbon-l'Archambault,0
"transported to the hospital at douala on 6 october, he died there on 8 october 2001",place of death Douala,0
"nicole lepaute took care of her terminally ill husband from 1767 until her death in paris on december 6th, 1788",place of death Paris,0
he died peacefully at his home in edinburgh in 1799 at the age of 71 and is buried in greyfriars kirkyard,place of death Edinburgh,0
"garrett died on april 25, 1961, in baltimore, marylandthe new york times, obituaries, april 26, 1961; the baltimore sun, obituaries, april 26, 1961",place of death Baltimore,0
"he died in a car wreck in west goshen, pennsylvania this morning at 3 a.m",place of death Chester County,0
"at the time of his death his novels had sold tens of millions of copies.""novelist elevated crime thriller, mastered dialogue""; julie hinds; detroit free press; august 21, 2013; page a1",place of death Detroit,0
"initial reports stated that leonard was recovering but on august 20, 2013, leonard died at his home in the detroit suburb of bloomfield hills of stroke complications",place of death Detroit,0
"in 1978, following mao's death and the fall of the gang of four, the 85 year old guo, as he lay dying in a beijing hospital, penned a poem denouncing the gang",place of death Beijing,0
"his father in his later writing expressed regret for encouraging his son to return to beijing from the farm, thinking that it indirectly led to his death",place of death Beijing,0
kantakouzenos died in the peloponnese and was buried by his sons at mistra in laconia,place of death Mystras,0
mejía died in rome on 9 december 2014 at the age of 91,place of death Rome,0
he died of cardiac arrest in manhattan in 1994 at the age of 67,place of death Manhattan,0
evgeny mikhailovich pozdniakov died in leningrad in 1991,place of death Saint Petersburg,0
henry of champagne fell from the window of his palace and died in acre on 10 september 1197,place of death Acre,0
"after her death on 5 april of the same year, she was buried on the meißenheim cemetery",place of death Meißenheim,0
"she died early so liu biao took a second wife, lady cai from the influential cai family in xiangyang",place of death Xiangyang,0
"babcock died of a heart attack in pasadena, california at age 86",place of death Pasadena,0
"chandler died in versailles on june 15, 1991, and was buried in the churchyard of pisgah presbyterian church near versailles",place of death Versailles,0
jutta died in rome where her brother-in-law king victor emmanuel iii reigned,place of death Rome,0
"six months after george's birth, obama died in a car crash in nairobi",place of death Nairobi,0
"he was hospitalized on july 6, 1972 for a broken hip, but died from kidney failure in istanbul constantinople the following day at the age of 86",place of death Istanbul,0
"monje molina died on january 15, 2019 of pneumonia in moscow",place of death Moscow,0
"on 11 january 2010, a month before her 101st birthday, miep gies died in hoorn after suffering from a fall",place of death Hoorn,0
"richard ely died in old lyme, connecticut on october 4, 1943",place of death Old Lyme,0
"he died on 30 may 1876, in his native city of vienna",place of death Vienna,0
"though maruyama suffered from poor health especially in his later life, he continued studying and writing until he died in tokyo on 15 august 1996",place of death Tokyo,0
rainer died at her london home on 30 december 2014 at the age of 104 from pneumonia,place of death London,0
"after her husband yen chia-kan died on december 24, 1993, she died at the same date six years later in 1999 because of diseases of the lung, liver and kidney at taipei chongqing south road official residence",place of death Taipei,0
"in 1930, she moved to hollywood and into the penthouse at the ravenswood apartment building where she lived until her death in 1980",place of death Hollywood,0
he died at hirokawa temple in kawachi province present-day osaka prefecture at age 72,place of death Ōsaka,0
browning died at his son's home ca' rezzonico in venice on 12 december 1889,place of death Venice,0
king saud died at the age of 67 on 23 february 1969 in athens after suffering a heart attack in his sleep,place of death Athens,0
"ani pachen died in dharamsala on february 2, 2002 of heart failure",place of death Dharamshala,0
"later he moved to france, where after an accident and long illness he died in a paris hospital in 1996",place of death Paris,0
"weider died on october 17, 2008, at the jewish general hospital in montreal",place of death Montreal,0
he was taken to a hospital in scottsdale where he died of blunt force injuries later that day,place of death Scottsdale,0
"cleveland and hendricks won the election, but hendricks only served as vice president for about eight months, from march 4, 1885, until his death on november 25, 1885, in indianapolis",place of death Indianapolis,0
"hendricks died unexpectedly on november 25, 1885, during a trip home to indianapolis",place of death Indianapolis,0
"hundreds of dignitaries were in attendance, including president grover cleveland, and thousands of people gathered along the city's street to see the 1.2 mile long funeral cortege as it traveled from downtown indianapolis to crown hill cemetery, where his remains were interred.during the last two years of his life, as his health was failing, hendricks made plans for his eventual death and selected a burial site and monument",place of death Indianapolis,0
"in the 1880s he had the remains of his only child, morgan, who had died thirty years earlier and was buried at shelbyville, moved to the hendricks burial site in indianapolis",place of death Indianapolis,0
"after a lifetime of work, he died peacefully in his sleep at ealing on 1 march 1981, st david's day",place of death Ealing,0
"peter iv catalan pere iv; 5 september 1319 – 6 january 1387, called the ceremonious catalan el cerimoniós, was from 1336 until his death the king of aragon and also king of sardinia and corsica as peter i, king of valencia as peter ii, and count of barcelona and the rest of the principality of catalonia as peter iii",place of death Barcelona,0
"hosni mubarak died on 25 february 2020, in a cairo military hospital, at the age of 91",place of death Cairo,0
"hathaway died from a heart attack in 1985 in hollywood and is interred at holy cross cemetery in culver city, california",place of death Hollywood,0
"rangjung rigpei dorjé died on november 5, 1981 in the united states in a hospital in zion, illinois",place of death Zion,0
"from 1956–63, lê duẩn played a moderating role between the two factions, but with the death of diệm and the gulf of tonkin incident, he became considerably more radical",place of death Hanoi,0
"he remained general secretary until, on 10 july 1986, he died of natural causes in hanoi at age 79",place of death Hanoi,0
"after conducting a cycle of brahms with the concertgebouw orchestra, he died from another heart attack in amsterdam in 1974",place of death Amsterdam,0
"in many muslim traditions, aisha is described as muhammad's most beloved or favored wife after his first wife, khadija bint khuwaylid, who died before the migration to medina took place",place of death Medina,0
aisha died at her home in medina on 17 ramadan 58 ah 16 july 678,place of death Medina,0
wiesenthal died in his sleep at age 96 in vienna on 20 september 2005 and was buried in the city of herzliya in israel,place of death Vienna,0
"stokes' last painting was alice tumbling down the rabbit hole, painted around 1989; she died in melbourne in 1991",place of death Melbourne,0
"o'hara died from cardiovascular disease in princeton, new jersey, and is interred in the princeton cemetery",place of death Princeton,0
"when his elder brother albert died without male issue in 1172, bernhard also inherited his county of ballenstedt",place of death Ballenstedt,0
he was last seen in the führerbunker in berlin on 1 may 1945 and remains the most senior figure of the nazi regime who was never captured or confirmed to have died,place of death Berlin,0
